"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"56474_at"	"1.15e-11"	"1.16e-15"	"-8.830592"	"24.97123"	"-1.5884568"	"HSPB8"	"heat shock 22kDa protein 8"
"43355_s_at"	"1.15e-11"	"2.28e-15"	"-8.720665"	"24.32266"	"-1.2608844"	"TUBB6"	"tubulin, beta 6 class V"
"45772_at"	"1.15e-11"	"2.74e-15"	"-8.690991"	"24.1481"	"-1.4528135"	"SLMAP"	"sarcolemma associated protein"
"50943_at"	"1.46e-11"	"4.65e-15"	"8.604224"	"23.63894"	"1.6590154"	""	""
"56409_at"	"1.68e-11"	"6.71e-15"	"-8.544147"	"23.28753"	"-1.8794941"	"SORBS1"	"sorbin and SH3 domain containing 1"
"52345_s_at"	"1.38e-10"	"6.60e-14"	"-8.164605"	"21.09027"	"-0.9503971"	"PARVA"	"parvin, alpha"
"56161_at"	"1.91e-10"	"1.06e-13"	"8.08448"	"20.63173"	"1.2680991"	""	""
"50361_at"	"4.54e-10"	"2.91e-13"	"-7.914358"	"19.6647"	"-2.1836238"	"SYNPO2"	"synaptopodin 2"
"46276_at"	"4.54e-10"	"3.26e-13"	"-7.895393"	"19.55747"	"-1.9166313"	"MYLK"	"myosin light chain kinase"
"52140_at"	"5.67e-10"	"4.52e-13"	"-7.83975"	"19.24351"	"-2.4716668"	"PGM5"	"phosphoglucomutase 5"
"46724_at"	"7.11e-10"	"6.23e-13"	"-7.784864"	"18.93483"	"-1.2549141"	"TNS1"	"tensin 1"
"48039_at"	"8.54e-10"	"8.61e-13"	"-7.729321"	"18.62348"	"-2.1770813"	"SYNPO2"	"synaptopodin 2"
"57241_at"	"8.54e-10"	"8.85e-13"	"-7.724746"	"18.59788"	"-1.085798"	"SYS1-DBNDD2///SYS1///DBNDD2"	"SYS1-DBNDD2 readthrough (NMD candidate)///Sys1 golgi trafficking protein///dysbindin (dystrobrevin binding protein 1) domain containing 2"
"52116_at"	"8.66e-10"	"9.66e-13"	"7.709678"	"18.51362"	"1.0675476"	"MYEF2"	"myelin expression factor 2"
"44119_at"	"9.42e-10"	"1.13e-12"	"-7.683358"	"18.36662"	"-1.050446"	"RASL12"	"RAS-like, family 12"
"56508_at"	"9.54e-10"	"1.22e-12"	"7.670101"	"18.29267"	"1.2920885"	"TSPAN13"	"tetraspanin 13"
"54713_at"	"1.12e-09"	"1.52e-12"	"-7.631805"	"18.07939"	"-1.2795778"	"ZAK"	"sterile alpha motif and leucine zipper containing kinase AZK"
"43076_at"	"1.31e-09"	"1.88e-12"	"7.595228"	"17.87616"	"1.8958603"	"HPN"	"hepsin"
"54028_at"	"1.36e-09"	"2.08e-12"	"-7.577581"	"17.77827"	"-1.1689272"	"FBXO32"	"F-box protein 32"
"45532_s_at"	"1.36e-09"	"2.17e-12"	"-7.569819"	"17.73526"	"-1.1110986"	"CFL2"	"cofilin 2 (muscle)"
"47579_at"	"1.41e-09"	"2.37e-12"	"-7.555057"	"17.6535"	"-1.3053519"	"ADCY5"	"adenylate cyclase 5"
"50298_at"	"1.46e-09"	"2.56e-12"	"-7.541296"	"17.57736"	"-1.7793423"	"FHOD3"	"formin homology 2 domain containing 3"
